,flux,z,f,enz,met_concentration,reaction,gpr
ASPK,0.7957664414011234,1.0,-9.486380882991423,6.116926295038699e-05,;asp__L_c : 1.5848638109033868e-06;atp_c : 7.534877424624995e-06;4pasp_c : 4.999999992621096e-07;adp_c : 7.534877424624987e-07,asp__L_c + atp_c --> 4pasp_c + adp_c,b3940 or b0002 or b4024
ASAD_reverse,0.7957664414011234,1.0,17.842340098573814,0.0014040962026030538,;pi_c : 4.999999992620972e-07;aspsa_c : 9.574504222791113e-06;nadph_c : 0.02000000000856292;4pasp_c : 4.999999992621096e-07;h_c : 1.0;nadp_c : 0.0020000000008562916,4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c,b3433
GHMT2r,0.7896642622425252,1.0,2.1480139281596804,0.0031063280821786534,;mlthf_c : 2.8097567170729636e-06;h2o_c : 1.0;gly_c : 4.999999992621096e-07;thf_c : 4.999999992621096e-07;ser__L_c : 4.999999992621096e-07,ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,b2551
BIOMASS_Ec_iML1515_core_75p37M,0.7443497388413789,1.0,-9999.0,-9999.0,;gly_c : 4.999999992621096e-07;btn_c : 4.999999992621096e-07;asp__L_c : 1.5848638109033868e-06;nad_c : 0.008939540152529537;dttp_c : 0.0013271610868058655;utp_c : 0.02000000000856292;coa_c : 4.999999992621096e-07;h2o_c : 1.0;murein5px4p_p : 1.0;phe__L_c : 3.260429160781446e-06;k_c : 4.999999992621096e-07;mn2_c : 4.999999992621096e-07;ca2_c : 4.999999992621096e-07;thmpp_c : 4.999999992621096e-07;dctp_c : 0.0007832781405536624;glu__L_c : 4.1164443673732045e-05;nadp_c : 0.0020000000008562916;succoa_c : 4.999999992621096e-07;cl_c : 4.999999992621096e-07;dgtp_c : 4.999999992621096e-07;pro__L_c : 0.0022338066768035803;fe2_c : 4.999999992621096e-07;mlthf_c : 2.8097567170729636e-06;atp_c : 7.534877424624995e-06;h_c : 1.0;ala__L_c : 4.999999992621096e-07;tyr__L_c : 3.957974583237633e-06;amet_c : 2.4999999952401825e-05;mobd_c : 4.999999992621096e-07;4fe4s_c : 4.999999992621096e-07;adp_c : 7.534877424624987e-07;2fe2s_c : 4.999999992621096e-07;cu2_c : 4.999999992621096e-07;fad_c : 0.02000000000856292;lys__L_c : 0.02000000000856292;ni2_c : 4.999999992621096e-07;pe161_p : 1.0;pe160_p : 1.0;gln__L_c : 3.6068070442731983e-06;ppi_c : 6.697121669409311e-07;val__L_c : 4.999999992621096e-07;ile__L_c : 4.999999992621096e-07;asn__L_c : 3.288385744003635e-05;datp_c : 0.0007832781405536624;cobalt2_c : 4.999999992621096e-07;pydx5p_c : 0.0011004109346146784;cys__L_c : 0.02000000000856292;2ohph_c : 4.999999992621096e-07;zn2_c : 4.999999992621096e-07;so4_c : 0.02000000000856292;fe3_c : 4.999999992621096e-07;ser__L_c : 4.999999992621096e-07;met__L_c : 0.00040000000034251683;mg2_c : 4.999999992621096e-07;thf_c : 4.999999992621096e-07;kdo2lipid4_e : 1.0;ctp_c : 0.0021789363409082507;10fthf_c : 4.999999992621096e-07;sheme_c : 4.999999992621096e-07;arg__L_c : 7.770647405899664e-06;trp__L_c : 4.999999992621096e-07;leu__L_c : 4.999999992621096e-07;pi_c : 4.999999992620972e-07;udcpdp_c : 4.999999992621096e-07;nh4_c : 0.01999999225362017;his__L_c : 4.999999992621096e-07;thr__L_c : 0.02000000000856292;ribflv_c : 0.02000000000856292;gtp_c : 4.999999992621096e-07;pheme_c : 4.999999992621096e-07,0.000223 10fthf_c + 2.6e-05 2fe2s_c + 0.000223 2ohph_c + 0.00026 4fe4s_c + 0.513689 ala__L_c + 0.000223 amet_c + 0.295792 arg__L_c + 0.241055 asn__L_c + 0.241055 asp__L_c + 75.55223 atp_c + 2e-06 btn_c + 0.005205 ca2_c + 0.005205 cl_c + 0.000576 coa_c + 2.5e-05 cobalt2_c + 0.133508 ctp_c + 0.000709 cu2_c + 0.09158 cys__L_c + 0.026166 datp_c + 0.027017 dctp_c + 0.027017 dgtp_c + 0.026166 dttp_c + 0.000223 fad_c + 0.006715 fe2_c + 0.007808 fe3_c + 0.26316 gln__L_c + 0.26316 glu__L_c + 0.612638 gly_c + 0.215096 gtp_c + 70.028756 h2o_c + 0.094738 his__L_c + 0.290529 ile__L_c + 0.195193 k_c + 0.019456 kdo2lipid4_e + 0.450531 leu__L_c + 0.343161 lys__L_c + 0.153686 met__L_c + 0.008675 mg2_c + 0.000223 mlthf_c + 0.000691 mn2_c + 7e-06 mobd_c + 0.013894 murein5px4p_p + 0.001831 nad_c + 0.000447 nadp_c + 0.013013 nh4_c + 0.000323 ni2_c + 0.063814 pe160_p + 0.075214 pe161_p + 0.185265 phe__L_c + 0.000223 pheme_c + 0.221055 pro__L_c + 0.000223 pydx5p_c + 0.000223 ribflv_c + 0.215792 ser__L_c + 0.000223 sheme_c + 0.004338 so4_c + 9.8e-05 succoa_c + 0.000223 thf_c + 0.000223 thmpp_c + 0.253687 thr__L_c + 0.056843 trp__L_c + 0.137896 tyr__L_c + 5.5e-05 udcpdp_c + 0.144104 utp_c + 0.423162 val__L_c + 0.000341 zn2_c --> 75.37723 adp_c + 75.37723 h_c + 75.37323 pi_c + 0.773903 ppi_c,
EX_pi_e_reverse,0.7180042241840714,1.0,-9999.0,-9999.0,;pi_e : 1.0, --> pi_e,
PItex,0.7180042241840714,1.0,-9999.0,-9999.0,;pi_e : 1.0;pi_p : 1.0,pi_e --> pi_p,b1377 or b0241 or b0929 or b2215
PIt2rpp,0.7180042241840714,1.0,-9999.0,-9999.0,;h_c : 1.0;h_p : 1.0;pi_p : 1.0;pi_c : 4.999999992620972e-07,h_p + pi_p --> h_c + pi_c,b3493 or b2987
PRPPS,0.6947343626488705,1.0,-9.486380882991444,0.0008254385013942372,;h_c : 1.0;prpp_c : 0.00017211561694875066;amp_c : 7.534877424624987e-07;atp_c : 7.534877424624995e-06;r5p_c : 4.999999992621096e-07,atp_c + r5p_c --> amp_c + h_c + prpp_c,b1207
TKT2,0.6682729789214008,1.0,24.142340098573637,0.00014891163691651676,;g3p_c : 0.01391462294057237;f6p_c : 4.999999992621096e-07;xu5p__D_c : 8.055488385357044e-05;e4p_c : 0.02000000000856292,e4p_c + xu5p__D_c --> f6p_c + g3p_c,b2935 or b2465
MTHFD,0.6546228439225081,1.0,-9.486380882991329,8.181151626813391e-05,;nadp_c : 0.0020000000008562916;methf_c : 4.999999992621096e-07;nadph_c : 0.02000000000856292;mlthf_c : 2.8097567170729636e-06,mlthf_c + nadp_c --> methf_c + nadph_c,b0529
MTHFC,0.6546228439225081,1.0,5.8,8.181151626813391e-05,;h_c : 1.0;h2o_c : 1.0;10fthf_c : 4.999999992621096e-07;methf_c : 4.999999992621096e-07,h2o_c + methf_c --> 10fthf_c + h_c,b0529
DHAD1,0.6508348481015209,1.0,62.828720981565,2.820783659783958e-05,;23dhmb_c : 0.02000000000856292;3mob_c : 4.999999992621096e-07;h2o_c : 1.0,23dhmb_c --> 3mob_c + h2o_c,b3771
ACLS,0.6508348481015209,1.0,-9.486380882991426,0.0001930729854482509,;alac__S_c : 0.00883627177028228;h_c : 1.0;pyr_c : 4.999999992621096e-07;co2_c : 9.999999999761782e-05,h_c + 2.0 pyr_c --> alac__S_c + co2_c,( b0077 and b0078 ) or ( b3670 and b3671 )
KARA1_reverse,0.6508348481015209,1.0,22.631666364186078,0.004249998732196359,;alac__S_c : 0.00883627177028228;nadp_c : 0.0020000000008562916;23dhmb_c : 0.02000000000856292;nadph_c : 0.02000000000856292;h_c : 1.0,alac__S_c + h_c + nadph_c --> 23dhmb_c + nadp_c,b3774
CAT,0.6395441790875601,1.0,155.68217168854,0.00026831646734323534,;o2_c : 4.999999992621096e-07;h2o_c : 1.0;h2o2_c : 4.999999992621096e-07,2.0 h2o2_c --> 2.0 h2o_c + o2_c,b1732 or b3942
NDPK1,0.5880467145809947,1.0,8.438366954831647,0.0004124666327103561,;gdp_c : 4.999999992621096e-07;adp_c : 7.534877424624987e-07;atp_c : 7.534877424624995e-06;gtp_c : 4.999999992621096e-07,atp_c + gdp_c --> adp_c + gtp_c,b0474 or b2518
HSDy_reverse,0.5196506501281093,1.0,7.223501140984535,7.231279515856033e-05,;hom__L_c : 0.02000000000856292;h_c : 1.0;aspsa_c : 9.574504222791113e-06;nadph_c : 0.02000000000856292;nadp_c : 0.0020000000008562916,aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c,b3940 or b0002
CBMKr,0.4663998698104186,1.0,-9.486380882991424,0.00039836124712077774,;h_c : 1.0;co2_c : 9.999999999761782e-05;atp_c : 7.534877424624995e-06;nh4_c : 0.01999999225362017;cbp_c : 4.999999992621096e-07;adp_c : 7.534877424624987e-07,atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c,b0521
ALATA_L_reverse,0.4330954294452771,1.0,11.175252162176871,0.0004033831375646252,;akg_c : 4.999999992621096e-07;ala__L_c : 4.999999992621096e-07;pyr_c : 4.999999992621096e-07;glu__L_c : 4.1164443673732045e-05,glu__L_c + pyr_c --> akg_c + ala__L_c,b2290 or b2379
HSK,0.4050870374732938,1.0,66.56708793639663,4.670948049670644e-05,;h_c : 1.0;adp_c : 7.534877424624987e-07;phom_c : 4.999999992621096e-07;atp_c : 7.534877424624995e-06;hom__L_c : 0.02000000000856292,atp_c + hom__L_c --> adp_c + h_c + phom_c,b0003
THRS,0.4050870374732938,1.0,38.28910732989506,0.0013253603919358206,;pi_c : 4.999999992620972e-07;h2o_c : 1.0;thr__L_c : 0.02000000000856292;phom_c : 4.999999992621096e-07,h2o_c + phom_c --> pi_c + thr__L_c,b0004
IMPC_reverse,0.40383355251305136,1.0,-9.028720981565002,0.0006430959580115259,;imp_c : 0.02000000000856292;h2o_c : 1.0;fprica_c : 4.999999992621096e-07,fprica_c --> h2o_c + imp_c,b4006
AICART,0.40383355251305136,1.0,19.128720981565003,0.0006430959580115259,;aicar_c : 0.02000000000856292;10fthf_c : 4.999999992621096e-07;fprica_c : 4.999999992621096e-07;thf_c : 4.999999992621096e-07,10fthf_c + aicar_c --> fprica_c + thf_c,b4006
HCO3E,0.3912480871286236,1.0,4.212373421335901,0.000283813703168427,;h_c : 1.0;h2o_c : 1.0;hco3_c : 0.00019999999999523565;co2_c : 9.999999999761782e-05,co2_c + h2o_c --> h_c + hco3_c,b0126 or b0339
OMCDC,0.33535263218994515,1.0,27.357896949572396,-9999.0,;3c4mop_c : 2.6073213898890736e-05;h_c : 1.0;co2_c : 9.999999999761782e-05;4mop_c : 0.004023488421991504,3c4mop_c + h_c --> 4mop_c + co2_c,s0001
IPPMIb_reverse,0.33535263218994515,1.0,0.8712790184352048,0.00019692289645535798,;3c3hmp_c : 2.7743631757200615e-05;h2o_c : 1.0;2ippm_c : 5.722348701574087e-06,3c3hmp_c --> 2ippm_c + h2o_c,b0071 and b0072
IPPMIa_reverse,0.33535263218994515,1.0,-9.486380882991511,0.0002277381391729497,;h2o_c : 1.0;2ippm_c : 5.722348701574087e-06;3c2hmp_c : 6.549054942146904e-05,2ippm_c + h2o_c --> 3c2hmp_c,b0071 and b0072
IPMD,0.33535263218994515,1.0,-9.486380882991472,0.0007512545335647421,;3c4mop_c : 2.6073213898890736e-05;h_c : 1.0;nadh_c : 0.0008939540152529535;nad_c : 0.008939540152529537;3c2hmp_c : 6.549054942146904e-05,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,b0073 or b1800
IPPS,0.33535263218994515,1.0,26.149149657077796,0.0005337500438606593,;3c3hmp_c : 2.7743631757200615e-05;h_c : 1.0;h2o_c : 1.0;accoa_c : 1.252585455320618e-05;coa_c : 4.999999992621096e-07;3mob_c : 4.999999992621096e-07,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,b0074
LEUTAi,0.33535263218994515,1.0,33.368332635798396,0.00021134324589885893,;4mop_c : 0.004023488421991504;akg_c : 4.999999992621096e-07;leu__L_c : 4.999999992621096e-07;glu__L_c : 4.1164443673732045e-05,4mop_c + glu__L_c --> akg_c + leu__L_c,b3770 or b4054
