,flux,z,f,enz,met_concentration,reaction,gpr
RBFK,0.00015886240504014992,1.0,3.9383669548316513,1.7030785958996363e-05,;h_c : 1.0;fmn_c : 0.02000000000856292;ribflv_c : 0.02000000000856292;atp_c : 4.999999992621083e-06;adp_c : 4.999999992621078e-07,atp_c + ribflv_c --> adp_c + fmn_c + h_c,b0025
FMNAT,0.00015886240504014992,1.0,15.631666366764879,1.7030785958996363e-05,;h_c : 1.0;fad_c : 0.02000000000856292;ppi_c : 2.1045792182462608e-06;fmn_c : 0.02000000000856292;atp_c : 4.999999992621083e-06,atp_c + fmn_c + h_c --> fad_c + ppi_c,b0025
UDCPDPS,3.9181310660144395e-05,1.0,771.976163147986,2.2112640698903344e-06,;ipdp_c : 0.02000000000856292;ppi_c : 2.1045792182462608e-06;frdp_c : 4.999999992621096e-07;udcpdp_c : 4.999999992621096e-07,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c,b0174
S2FE2ST,1.9946849063346234e-05,1.0,-9999.0,3.054903302909843e-07,;sufbcd_2fe2s_c : 4.999999992621096e-07;h_c : 1.0;sufbcd_c : 4.999999992621096e-07;2fe2s_c : 4.999999992621096e-07,4.0 h_c + sufbcd_2fe2s_c --> 2fe2s_c + sufbcd_c,b1684 and b1682 and b1681 and b1683
EX_cobalt2_e_reverse,1.7809686663701995e-05,1.0,-9999.0,-9999.0,;cobalt2_e : 1.0, --> cobalt2_e,
COBALT2tpp,1.7809686663701995e-05,1.0,-9999.0,-9999.0,;cobalt2_c : 4.999999992621096e-07;cobalt2_p : 1.0,cobalt2_p --> cobalt2_c,b3040 or b3816
COBALT2tex,1.7809686663701995e-05,1.0,-9999.0,-9999.0,;cobalt2_e : 1.0;cobalt2_p : 1.0,cobalt2_e --> cobalt2_p,b1377 or b0241 or b0929 or b2215
EX_mobd_e_reverse,4.9867122658365585e-06,1.0,-9999.0,-9999.0,;mobd_e : 1.0, --> mobd_e,
MOBDabcpp,4.9867122658365585e-06,1.0,-9999.0,-9999.0,;pi_c : 0.012512120276271058;h2o_c : 1.0;mobd_c : 4.999999992621096e-07;atp_c : 4.999999992621083e-06;h_c : 1.0;mobd_p : 1.0;adp_c : 4.999999992621078e-07,atp_c + h2o_c + mobd_p --> adp_c + h_c + mobd_c + pi_c,( b2424 and b2422 and b2423 and b3917 ) or ( b0765 and b0764 and b0763 ) or ( b2423 and b2425 and b2422 and b2424 )
MOBDtex,4.9867122658365585e-06,1.0,-9999.0,-9999.0,;mobd_p : 1.0;mobd_e : 1.0,mobd_e --> mobd_p,b1377 or b0241 or b0929 or b2215
MEOHtrpp_reverse,1.4247749330961595e-06,1.0,-9999.0,-9999.0,;meoh_c : 4.999999992621096e-07;meoh_p : 1.0,meoh_c --> meoh_p,s0001
OGMEACPR,1.4247749330961595e-06,1.0,-9999.0,0.000297509904593059,;h_c : 1.0;nadp_c : 0.0020000000008562916;hgmeACP_c : 4.999999992621096e-07;nadph_c : 0.02000000000856292;ogmeACP_c : 4.999999992621096e-07,h_c + nadph_c + ogmeACP_c --> hgmeACP_c + nadp_c,b1093
AOXSr2,1.4247749330961595e-06,1.0,-9999.0,1.6461870977425298e-05,;8aonn_c : 2.4999999952401825e-05;ACP_c : 4.999999992621096e-07;co2_c : 3.5532535700738193e-07;ala__L_c : 1.406364885409617e-06;pimACP_c : 4.999999992621096e-07,ala__L_c + pimACP_c --> 8aonn_c + ACP_c + co2_c,b0776
MALCOAMT,1.4247749330961595e-06,1.0,-9999.0,4.331301331451894e-09,;amet_c : 0.02000000000856292;malcoa_c : 4.999999992621096e-07;malcoame_c : 4.999999992621096e-07;ahcys_c : 0.02000000000856292,amet_c + malcoa_c --> ahcys_c + malcoame_c,b0777
DBTS,1.4247749330961595e-06,1.0,2.667086936396552,1.9107568236141936e-05,;h_c : 1.0;co2_c : 3.5532535700738193e-07;atp_c : 4.999999992621083e-06;pi_c : 0.012512120276271058;adp_c : 4.999999992621078e-07;dtbt_c : 4.999999992621096e-07;dann_c : 0.02000000000856292,atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,b0778
PMEACPE,1.4247749330961595e-06,1.0,-9999.0,2.820359149000167e-06,;meoh_c : 4.999999992621096e-07;pimACP_c : 4.999999992621096e-07;h2o_c : 1.0;pmeACP_c : 4.999999992621096e-07,h2o_c + pmeACP_c --> meoh_c + pimACP_c,b3412
S2FE2SR,1.4247749330961595e-06,1.0,-9999.0,1.2661004284442281e-08,;sufbcd_2fe2s_c : 4.999999992621096e-07;pi_c : 0.012512120276271058;atp_c : 4.999999992621083e-06;2fe1s_c : 4.999999992621096e-07;adp_c : 4.999999992621078e-07;sufsesh_c : 4.999999992621096e-07;h_c : 1.0;h2o_c : 1.0;sufse_c : 4.999999992621096e-07;sufbcd_c : 4.999999992621096e-07,2fe1s_c + atp_c + h2o_c + sufbcd_c + sufsesh_c --> adp_c + 5.0 h_c + pi_c + sufbcd_2fe2s_c + sufse_c,b1681 and b1679 and b1680 and b1682 and b1683
OPMEACPR,1.4247749330961595e-06,1.0,-9999.0,0.000297509904593059,;nadp_c : 0.0020000000008562916;hpmeACP_c : 4.999999992621096e-07;h_c : 1.0;nadph_c : 0.02000000000856292;opmeACP_c : 4.999999992621096e-07,h_c + nadph_c + opmeACP_c --> hpmeACP_c + nadp_c,b1093
OGMEACPS,1.4247749330961595e-06,1.0,-9999.0,0.0001950677619244468,;malACP_c : 4.999999992621096e-07;h_c : 1.0;co2_c : 3.5532535700738193e-07;coa_c : 1.8852338649606048e-06;ogmeACP_c : 4.999999992621096e-07;malcoame_c : 4.999999992621096e-07,h_c + malACP_c + malcoame_c --> co2_c + coa_c + ogmeACP_c,b1091
EPMEACPR,1.4247749330961595e-06,1.0,-9999.0,0.000367588992026873,;nadp_c : 0.0020000000008562916;pmeACP_c : 4.999999992621096e-07;h_c : 1.0;nadph_c : 0.02000000000856292;epmeACP_c : 4.999999992621096e-07,epmeACP_c + h_c + nadph_c --> nadp_c + pmeACP_c,b1288
