,flux,z,f,enz,met_concentration,reaction,gpr
TRDR,0.17506401938431893,1.0,14.838366954831642,0.00013329965203309483,;nadph_c : 0.02000000000856292;nadp_c : 0.0020000000008562916;h_c : 1.0;trdrd_c : 4.999999992621096e-07;trdox_c : 4.999999992621096e-07,h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,( b0888 and b3781 ) or ( b2582 and b0888 )
CYSS,0.17506401938431893,1.0,2.209998999999982,3.922028387360975e-06,;h_c : 1.0;ac_c : 0.000984057327574355;cys__L_c : 0.02000000000856292;acser_c : 4.999999992621096e-07;h2s_c : 4.999999992621096e-07,acser_c + h2s_c --> ac_c + cys__L_c + h_c,b2421 or b2414
IMPD,0.17205482138826,1.0,3.3245288995266797,0.0007849439344054172,;imp_c : 0.02000000000856292;h2o_c : 1.0;nadh_c : 0.0007084583731630467;nad_c : 0.007084583731630468;h_c : 1.0;xmp_c : 3.2209127830676684e-05,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,b2508
GMPS,0.17205482138826,1.0,-9999.0,0.0005924360236971204,;ppi_c : 3.4549857648675275e-05;amp_c : 5.411968104158752e-06;atp_c : 5.411968104158758e-05;nh4_c : 0.0027845228801085314;gmp_c : 5.18670125545646e-06;h_c : 1.0;xmp_c : 3.2209127830676684e-05,atp_c + nh4_c + xmp_c --> amp_c + gmp_c + 2.0 h_c + ppi_c,b2507
GK1,0.17205482138826,1.0,14.571280018435175,1.0790105753766087e-05,;adp_c : 5.411968104158752e-06;gmp_c : 5.18670125545646e-06;gdp_c : 4.999999992621096e-07;atp_c : 5.411968104158758e-05,atp_c + gmp_c --> adp_c + gdp_c,b3648
ASNS2,0.1705176828726422,1.0,24.077776780679333,0.00021487781663549977,;asp__L_c : 4.999999992621096e-07;ppi_c : 3.4549857648675275e-05;amp_c : 5.411968104158752e-06;atp_c : 5.411968104158758e-05;nh4_c : 0.0027845228801085314;asn__L_c : 0.00023619015622677888;h_c : 1.0,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c,b3744 or b0674
G5SADs,0.15637006653009422,1.0,12.757440963129866,-9999.0,;h2o_c : 1.0;glu5sa_c : 0.02000000000856292;1pyr5c_c : 4.686333097377458e-06;h_c : 1.0,glu5sa_c --> 1pyr5c_c + h2o_c + h_c,s0001
G5SD,0.15637006653009422,1.0,22.927474284726706,0.0004388257478266178,;nadp_c : 0.0020000000008562916;glu5sa_c : 0.02000000000856292;pi_c : 4.999999992620972e-07;h_c : 1.0;nadph_c : 0.02000000000856292;glu5p_c : 4.999999992621096e-07,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,b0243
P5CR,0.15637006653009422,1.0,31.349259624936614,0.0005326752943931299,;nadp_c : 0.0020000000008562916;pro__L_c : 0.016044442138114186;1pyr5c_c : 4.686333097377458e-06;h_c : 1.0;nadph_c : 0.02000000000856292,1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,b0386
GLU5K,0.15637006653009422,1.0,-14.571280018435198,0.0003566588452061115,;adp_c : 5.411968104158752e-06;atp_c : 5.411968104158758e-05;glu__L_c : 5.731168982612912e-06;glu5p_c : 4.999999992621096e-07,atp_c + glu__L_c --> adp_c + glu5p_c,b0242
