,max_Df under fixed Ci ratio,min_Df under fixed Ci ratio,diff under fixed Ci ratio
DHORD2,126.55744196313,17.242558036869994,109.31488392626001
DHORD5,90.45744196313001,-18.857441963130015,109.31488392626002
DHORDfum,105.05744196313,-4.257441963130006,109.31488392626001
DHORTS,33.828720981565006,-20.828720981565006,54.65744196313001
DHPPD,62.76708793639665,8.109645973266637,54.65744196313001
DHORTS_reverse,20.828720981565006,-33.828720981565006,54.65744196313001
DHPS2,105.25744196313002,-4.057441963130017,109.31488392626004
DHPTPE,27.328720981565006,-27.328720981565006,54.65744196313001
DHPTPE_reverse,27.328720981565006,-27.328720981565006,54.65744196313001
DHQS,195.746549293025,113.76038634833,81.986162944695
DKGLCNR1,67.06708793639665,12.409645973266635,54.65744196313001
DHQTi,32.628720981565,-22.028720981565005,54.65744196313001
DKGLCNR2y,57.067087936396646,2.4096459732666418,54.657441963130005
DMATT,128.05744196313,18.742558036869994,109.31488392626001
DKGLCNR2x,47.09035402673335,-7.567087936396657,54.65744196313001
DMPPS,87.79035402673335,33.13291206360335,54.657441963130005
DMSOR1,258.65744196313,149.34255803687,109.31488392626
DMSOR2,258.65744196313,149.34255803687,109.31488392626
DNMPPA,79.24654929302501,-2.7396136516700054,81.98616294469502
DNTPPA,109.246549293025,27.260386348329995,81.986162944695
DOGULNR,39.19035402673336,-15.467087936396656,54.65744196313001
DPCOAK,32.36708793639665,-22.29035402673336,54.65744196313001
DRPA,44.446549293025015,-37.53961365167001,81.98616294469502
DPR,50.967087936396645,-3.6903540267333668,54.65744196313001
DSERDHr,-2.1096459732666375,-56.76708793639665,54.65744196313001
DSERDHr_reverse,56.76708793639665,2.1096459732666375,54.65744196313001
DTARTD,62.628720981565,7.971279018434991,54.65744196313001
DTMPK,35.96708793639665,-18.69035402673336,54.65744196313001
DURADx,34.367087936396665,-20.290354026733354,54.65744196313002
DTMPK_reverse,18.69035402673336,-35.96708793639665,54.65744196313001
DURADx_reverse,20.290354026733354,-34.367087936396665,54.65744196313002
DURIK1,49.06708793639665,-5.590354026733362,54.65744196313001
DURIPP,51.357441963130015,-57.95744196313001,109.31488392626002
DURIPP_reverse,57.95744196313001,-51.357441963130015,109.31488392626002
DUTPDP,107.04654929302501,25.060386348329992,81.98616294469502
DXPRIi,53.66708793639665,-0.9903540267333639,54.65744196313001
DXYLTD_reverse,-14.571279018434993,-69.228720981565,54.65744196313001
DXYLTD,69.228720981565,14.571279018434993,54.65744196313001
DXPS,84.90818233302002,-14.893081473637007,99.80126380665703
DXYLK,45.56708793639665,-9.090354026733362,54.65744196313001
E4PD,80.56708793639666,25.90964597326665,54.65744196313001
E4PD_reverse,-25.90964597326665,-80.56708793639666,54.65744196313001
E4PP,81.146549293025,-0.8396136516700068,81.98616294469501
ECOAH1_reverse,31.128720981565007,-23.52872098156501,54.65744196313001
ECOAH2,26.328720981565006,-28.328720981565006,54.65744196313001
ECOAH3,26.628720981565003,-28.028720981565005,54.65744196313001
ECOAH1,23.52872098156501,-31.128720981565007,54.65744196313001
ECOAH2_reverse,28.328720981565006,-26.328720981565006,54.65744196313001
ECOAH3_reverse,28.028720981565005,-26.628720981565003,54.65744196313001
ECOAH4,26.628720981565003,-28.028720981565005,54.65744196313001
ECOAH4_reverse,28.028720981565005,-26.628720981565003,54.65744196313001
ECOAH5,26.628720981565003,-28.028720981565005,54.65744196313001
